689,696,735,378,28,377,733,31,29,346,345,357,477,344,476,723,722
689,696,735,374,25,27,350,349,359,348,357,477,344,476,723,722
689,696,735,378,28,27,350,384,347,345,357,477,344,476,723,722
689,696,735,378,28,27,350,349,347,345,357,477,344,476,723,722
689,694,734,378,28,27,350,384,347,348,357,477,344,476,721,722
689,696,735,374,25,27,30,384,347,345,357,477,723,476,721,722
689,694,734,378,28,27,350,349,347,348,357,477,344,476,721,722
689,696,735,374,25,26,351,349,347,345,357,477,723,476,721,722
689,696,735,374,25,26,350,384,347,345,357,477,723,476,721,722
689,696,735,374,25,26,351,352,359,348,357,477,344,476,721,722
689,696,735,378,28,377,733,31,29,346,345,357,477,344,476,721,722
689,696,735,374,25,26,350,349,347,345,357,477,723,476,721,722
689,696,735,374,25,27,350,384,346,345,357,477,723,476,721,722
689,696,735,374,25,27,350,349,359,348,357,477,344,476,721,722
689,696,735,378,28,27,350,384,347,345,357,477,344,476,721,722
689,696,735,378,28,27,350,349,359,348,357,477,723,476,721,722
689,696,735,378,28,27,350,349,347,345,357,477,344,476,721,722
689,696,735,374,25,27,350,384,347,345,357,477,344,476,723,722
689,696,735,374,25,27,350,349,347,345,357,477,344,476,723,722
689,694,734,378,28,27,350,384,347,348,357,477,723,476,721,722
689,694,695,745,693,732,210,31,29,346,345,357,477,344,476,723,722
689,696,735,374,28,27,30,384,347,348,357,477,344,476,723,722
689,694,734,378,28,27,350,349,347,348,357,477,723,476,721,722
689,696,735,374,25,26,351,352,359,348,357,477,723,476,721,722
689,696,735,374,25,27,350,384,347,345,357,477,344,476,721,722
689,696,735,378,28,377,733,31,29,346,345,357,477,723,476,721,722
689,696,735,374,25,27,350,349,359,348,357,477,723,476,721,722
689,696,735,378,28,27,350,384,347,345,357,477,723,476,721,722
689,696,735,374,25,27,350,349,347,345,357,477,344,476,721,722
689,696,735,378,28,27,350,349,347,345,357,477,723,476,721,722
689,694,695,745,693,732,210,31,29,346,345,357,477,344,476,721,722
689,696,735,374,28,27,30,384,347,348,357,477,344,476,721,722
689,694,734,378,28,27,30,384,346,29,474,475,342,344,476,723,722
689,696,735,374,25,27,350,384,347,345,357,477,723,476,721,722
689,696,735,374,25,27,350,349,347,345,357,477,723,476,721,722
689,694,734,378,28,27,30,384,346,29,474,475,342,344,477,723,722
689,694,695,745,693,732,210,31,29,346,345,357,477,723,476,721,722
689,696,735,374,28,27,30,384,347,348,357,477,723,476,721,722
689,694,734,378,28,27,30,384,346,29,474,475,342,344,476,721,722
689,696,735,378,28,27,30,384,347,348,357,477,344,476,723,722
689,696,735,374,28,27,350,384,347,348,357,477,344,476,723,722
689,696,735,374,28,27,350,349,347,348,357,477,344,476,723,722
689,696,735,378,28,27,30,384,347,348,357,477,344,476,721,722
689,696,735,374,25,27,30,384,347,348,357,477,344,476,723,722
689,696,735,374,28,27,350,384,347,348,357,477,344,476,721,722
689,696,735,374,28,27,350,349,347,348,357,477,344,476,721,722
689,696,735,374,25,26,351,349,347,348,357,477,344,476,723,722
689,694,734,378,28,27,350,384,346,29,474,475,342,344,476,723,722
689,694,734,378,28,27,350,384,30,29,346,345,342,344,476,723,722
689,696,735,374,25,26,350,384,347,348,357,477,344,476,723,722
689,696,735,374,25,26,350,349,347,348,357,477,344,476,723,722
689,696,735,374,25,27,30,384,347,348,357,477,344,476,721,722
689,696,735,378,28,27,30,384,347,348,357,477,723,476,721,722
689,694,734,378,28,27,350,384,346,29,474,475,342,344,477,723,722
689,696,735,374,25,26,351,349,347,348,357,477,344,476,721,722
689,696,735,374,28,27,350,384,347,348,357,477,723,476,721,722
689,694,734,378,28,27,350,384,30,29,346,345,342,344,477,723,722
689,694,734,378,28,27,350,384,346,29,474,475,342,344,476,721,722
689,696,735,374,28,27,350,349,347,348,357,477,723,476,721,722
689,694,734,378,28,27,350,384,30,29,346,345,342,344,476,721,722
689,696,735,374,25,26,350,384,347,348,357,477,344,476,721,722
689,696,735,374,25,26,350,349,347,348,357,477,344,476,721,722
689,696,735,378,28,27,350,384,347,348,357,477,344,476,723,722
689,696,735,378,28,27,350,349,347,348,357,477,344,476,723,722
689,696,735,374,25,27,30,384,347,348,357,477,723,476,721,722
689,696,735,374,25,26,351,349,347,348,357,477,723,476,721,722
689,694,734,378,28,27,350,384,30,29,474,475,342,344,476,723,722
689,696,735,374,28,27,30,384,346,29,474,475,342,344,476,723,722
689,696,735,374,25,26,350,384,347,348,357,477,723,476,721,722
689,696,735,374,25,26,350,349,347,348,357,477,723,476,721,722
689,696,735,378,28,27,350,384,347,348,357,477,344,476,721,722
689,696,735,378,28,27,350,349,347,348,357,477,344,476,721,722
689,696,735,374,25,27,350,384,347,348,357,477,344,476,723,722
689,694,734,378,28,377,30,384,346,345,342,344,477,723,476,721,722
689,696,735,374,25,27,350,349,347,348,357,477,344,476,723,722
689,694,734,378,28,27,350,384,30,29,474,475,342,344,477,723,722
689,696,735,374,28,27,30,384,346,29,474,475,342,344,477,723,722
689,694,734,378,28,27,350,384,30,29,474,475,342,344,476,721,722
689,696,735,374,28,27,30,384,346,29,474,475,342,344,476,721,722
689,696,735,374,25,27,350,384,347,348,357,477,344,476,721,722
689,696,735,378,28,27,350,384,347,348,357,477,723,476,721,722
689,696,735,374,25,27,350,349,347,348,357,477,344,476,721,722
689,696,735,378,28,27,350,349,347,348,357,477,723,476,721,722
689,694,734,378,28,27,350,384,30,29,346,475,342,344,476,723,722
689,694,734,378,28,377,30,29,346,345,342,344,477,723,476,721,722
689,696,735,374,25,27,350,384,347,348,357,477,723,476,721,722
689,694,734,378,28,27,350,384,30,29,346,475,342,344,477,723,722
689,696,735,374,25,27,350,349,347,348,357,477,723,476,721,722
689,696,735,378,28,27,30,384,346,29,474,475,342,344,476,723,722
689,694,734,378,28,27,350,384,30,29,346,475,342,344,476,721,722
689,694,734,378,28,377,30,384,347,345,342,344,477,723,476,721,722
689,696,735,374,28,27,350,384,346,29,474,475,342,344,476,723,722
689,696,735,374,28,27,350,384,30,29,346,345,342,344,476,723,722
689,696,735,378,28,27,30,384,346,29,474,475,342,344,477,723,722
689,696,735,374,28,27,350,384,346,29,474,475,342,344,477,723,722
689,696,735,378,28,27,30,384,346,29,474,475,342,344,476,721,722
689,696,735,374,28,27,350,384,30,29,346,345,342,344,477,723,722
689,696,735,374,25,27,30,384,346,29,474,475,342,344,476,723,722
689,696,735,374,28,27,350,384,346,29,474,475,342,344,476,721,722
689,696,735,374,28,27,350,384,30,29,346,345,342,344,476,721,722
689,694,734,378,28,377,30,29,474,475,342,344,477,723,476,721,722
689,696,735,374,25,26,350,384,346,29,474,475,342,344,476,723,722
689,694,734,378,28,377,30,384,346,475,342,344,477,723,476,721,722
689,696,735,374,25,27,30,384,346,29,474,475,342,344,477,723,722
689,696,735,374,25,26,350,384,30,29,346,345,342,344,476,723,722
689,696,735,374,25,27,30,384,346,29,474,475,342,344,476,721,722
689,696,735,374,28,27,350,384,30,29,474,475,342,344,476,723,722
689,696,735,374,25,26,350,384,346,29,474,475,342,344,477,723,722
689,696,735,374,25,26,350,384,30,29,346,345,342,344,477,723,722
689,696,735,374,25,26,350,27,30,384,346,345,342,344,476,723,722
689,696,735,374,25,26,350,384,346,29,474,475,342,344,476,721,722
689,696,735,374,25,26,350,384,30,29,346,345,342,344,476,721,722
689,696,735,374,28,377,30,384,346,345,342,344,477,723,476,721,722
689,696,735,378,28,27,350,384,346,29,474,475,342,344,476,723,722
689,696,735,374,28,27,350,384,30,29,474,475,342,344,477,723,722
689,696,735,378,28,27,350,384,30,29,346,345,342,344,476,723,722
689,696,735,374,25,26,350,27,30,384,346,345,342,344,477,723,722
689,696,735,374,28,27,350,384,30,29,474,475,342,344,476,721,722
689,696,735,374,25,26,350,27,30,384,346,345,342,344,476,721,722
689,694,734,378,28,377,30,29,346,475,342,344,477,723,476,721,722
689,696,735,378,28,27,350,384,346,29,474,475,342,344,477,723,722
689,696,735,374,25,26,350,384,30,29,474,475,342,344,476,723,722
689,696,735,378,28,27,350,384,30,29,346,345,342,344,477,723,722
689,696,735,378,28,27,350,384,346,29,474,475,342,344,476,721,722
689,696,735,374,25,27,350,384,346,29,474,475,342,344,476,723,722
689,696,735,378,28,27,350,384,30,29,346,345,342,344,476,721,722
689,696,735,374,25,27,350,384,30,29,346,345,342,344,476,723,722
689,696,735,374,28,27,350,384,30,29,346,475,342,344,476,723,722
689,696,735,374,25,26,350,27,30,29,346,345,342,344,476,723,722
689,696,735,374,25,26,350,384,30,29,474,475,342,344,477,723,722
689,696,735,374,25,26,350,384,30,29,474,475,342,344,476,721,722
689,696,735,374,28,377,30,29,346,345,342,344,477,723,476,721,722
689,696,735,374,25,27,350,384,346,29,474,475,342,344,477,723,722
689,696,735,374,25,26,350,27,30,384,347,345,342,344,476,723,722
689,696,735,374,25,27,350,384,30,29,346,345,342,344,477,723,722
689,696,735,374,28,27,350,384,30,29,346,475,342,344,477,723,722
689,696,735,374,25,27,350,384,346,29,474,475,342,344,476,721,722
689,696,735,374,25,26,350,27,30,29,346,345,342,344,477,723,722
689,696,735,378,28,27,350,384,30,29,474,475,342,344,476,723,722
689,696,735,374,25,27,350,384,30,29,346,345,342,344,476,721,722
689,696,735,374,28,27,350,384,30,29,346,475,342,344,476,721,722
689,696,735,374,25,26,350,27,30,29,346,345,342,344,476,721,722
689,696,735,374,28,377,30,384,347,345,342,344,477,723,476,721,722
689,696,735,374,25,26,350,27,30,384,347,345,342,344,477,723,722
689,696,735,374,25,26,350,384,30,29,346,475,342,344,476,723,722
689,696,735,374,25,26,350,27,30,384,347,345,342,344,476,721,722
689,696,735,378,28,377,30,384,346,345,342,344,477,723,476,721,722
689,696,735,378,28,27,350,384,30,29,474,475,342,344,477,723,722
689,696,735,378,28,27,350,384,30,29,474,475,342,344,476,721,722
689,696,735,374,25,27,350,384,30,29,474,475,342,344,476,723,722
689,696,735,374,25,26,350,27,30,29,474,475,342,344,476,723,722
689,696,735,374,25,26,350,384,30,29,346,475,342,344,477,723,722
689,696,735,374,25,26,350,27,30,384,346,475,342,344,476,723,722
689,696,735,374,25,26,350,384,30,29,346,475,342,344,476,721,722
689,696,735,374,28,377,30,29,474,475,342,344,477,723,476,721,722
689,696,735,374,28,377,30,384,346,475,342,344,477,723,476,721,722
689,696,735,374,25,27,350,384,30,29,474,475,342,344,477,723,722
689,696,735,374,25,26,350,27,30,29,474,475,342,344,477,723,722
689,696,735,378,28,27,350,384,30,29,346,475,342,344,476,723,722
689,696,735,374,25,27,350,384,30,29,474,475,342,344,476,721,722
689,696,735,374,25,26,350,27,30,384,346,475,342,344,477,723,722
689,696,735,374,25,26,350,27,30,29,474,475,342,344,476,721,722
689,696,735,374,25,26,350,27,30,384,346,475,342,344,476,721,722
689,696,735,378,28,377,30,29,346,345,342,344,477,723,476,721,722
689,696,735,378,28,27,350,384,30,29,346,475,342,344,477,723,722
689,696,735,378,28,27,350,384,30,29,346,475,342,344,476,721,722
689,696,735,378,28,377,30,384,347,345,342,344,477,723,476,721,722
689,696,735,374,25,27,350,384,30,29,346,475,342,344,476,723,722
689,696,735,374,25,26,350,27,30,29,346,475,342,344,476,723,722
689,696,735,374,28,377,30,29,346,475,342,344,477,723,476,721,722
689,696,735,374,25,27,350,384,30,29,346,475,342,344,477,723,722
689,696,735,374,25,26,350,27,30,29,346,475,342,344,477,723,722
689,696,735,374,25,27,350,384,30,29,346,475,342,344,476,721,722
689,696,735,374,25,26,350,27,30,29,346,475,342,344,476,721,722
689,696,735,378,28,377,30,29,474,475,342,344,477,723,476,721,722
689,696,735,378,28,377,30,384,346,475,342,344,477,723,476,721,722
689,696,735,378,28,377,30,29,346,475,342,344,477,723,476,721,722
689,694,734,378,28,27,30,384,346,345,342,344,477,723,476,721,722
689,694,734,378,28,27,30,29,346,345,342,344,477,723,476,721,722
689,694,734,378,28,27,30,384,347,345,342,344,477,723,476,721,722
689,694,734,378,28,27,350,384,346,345,342,344,477,723,476,721,722
689,694,734,378,28,27,30,29,474,475,342,344,477,723,476,721,722
689,694,734,378,28,27,30,384,346,475,342,344,477,723,476,721,722
689,696,735,374,28,27,30,384,346,345,342,344,477,723,476,721,722
689,694,734,378,28,377,733,31,29,346,345,342,344,477,723,476,721,722
689,694,734,378,28,27,350,384,347,345,342,344,477,723,476,721,722
689,694,734,378,28,27,350,349,347,345,342,344,477,723,476,721,722
689,694,734,378,28,27,30,29,346,475,342,344,477,723,476,721,722
689,694,734,378,28,27,350,384,346,475,342,344,477,723,476,721,722
689,696,735,374,28,27,30,29,346,345,342,344,477,723,476,721,722
689,694,734,378,28,377,733,31,29,474,475,342,344,477,723,476,721,722
689,696,735,374,28,27,30,384,347,345,342,344,477,723,476,721,722
689,696,735,378,28,27,30,384,346,345,342,344,477,723,476,721,722
689,696,735,374,28,27,350,384,346,345,342,344,477,723,476,721,722
689,694,734,378,28,377,733,31,209,474,475,342,344,477,723,476,721,722
689,696,735,374,28,27,30,29,474,475,342,344,477,723,476,721,722
689,696,735,374,25,27,30,384,346,345,342,344,477,723,476,721,722
689,696,735,374,28,27,30,384,346,475,342,344,477,723,476,721,722
689,694,734,378,28,377,733,31,29,346,475,342,344,477,723,476,721,722
689,696,735,374,25,26,350,384,346,345,342,344,477,723,476,721,722
689,696,735,378,28,27,30,29,346,345,342,344,477,723,476,721,722
689,696,735,378,28,27,30,384,347,345,342,344,477,723,476,721,722
689,696,735,374,28,377,733,31,29,346,345,342,344,477,723,476,721,722
689,696,735,374,28,27,350,384,347,345,342,344,477,723,476,721,722
689,696,735,374,28,27,350,349,347,345,342,344,477,723,476,721,722
689,696,735,374,25,27,30,29,346,345,342,344,477,723,476,721,722
689,696,735,374,28,27,30,29,346,475,342,344,477,723,476,721,722
689,696,735,378,28,27,350,384,346,345,342,344,477,723,476,721,722
689,696,735,374,25,27,30,384,347,345,342,344,477,723,476,721,722
689,696,735,374,25,26,351,349,347,345,342,344,477,723,476,721,722
689,696,735,378,28,27,30,29,474,475,342,344,477,723,476,721,722
689,696,735,378,28,27,30,384,346,475,342,344,477,723,476,721,722
689,696,735,374,25,26,350,384,347,345,342,344,477,723,476,721,722
689,696,735,374,25,26,350,349,347,345,342,344,477,723,476,721,722
689,696,735,374,25,27,350,384,346,345,342,344,477,723,476,721,722
689,696,735,374,28,27,350,384,346,475,342,344,477,723,476,721,722
689,696,735,374,28,377,733,31,29,474,475,342,344,477,723,476,721,722
689,696,735,374,25,27,30,29,474,475,342,344,477,723,476,721,722
689,696,735,374,25,27,30,384,346,475,342,344,477,723,476,721,722
689,696,735,378,28,377,733,31,29,346,345,342,344,477,723,476,721,722
689,696,735,378,28,27,350,384,347,345,342,344,477,723,476,721,722
689,696,735,378,28,27,350,349,347,345,342,344,477,723,476,721,722
689,696,735,374,25,26,350,384,346,475,342,344,477,723,476,721,722
689,696,735,378,28,27,30,29,346,475,342,344,477,723,476,721,722
689,696,735,374,28,377,733,31,209,474,475,342,344,477,723,476,721,722
689,696,735,374,28,377,733,31,29,346,475,342,344,477,723,476,721,722
689,696,735,374,25,27,350,384,347,345,342,344,477,723,476,721,722
689,696,735,374,25,27,350,349,347,345,342,344,477,723,476,721,722
689,694,695,745,693,732,210,31,29,346,345,342,344,477,723,476,721,722
689,696,735,374,25,27,30,29,346,475,342,344,477,723,476,721,722
689,696,735,378,28,27,350,384,346,475,342,344,477,723,476,721,722
689,696,735,378,28,377,733,31,29,474,475,342,344,477,723,476,721,722
689,696,735,374,25,27,350,384,346,475,342,344,477,723,476,721,722
689,694,695,745,693,732,210,31,29,474,475,342,344,477,723,476,721,722
689,696,735,378,28,377,733,31,209,474,475,342,344,477,723,476,721,722
689,694,695,745,693,732,692,209,474,475,342,344,477,723,476,721,722
689,696,735,378,28,377,733,31,29,346,475,342,344,477,723,476,721,722
689,694,695,745,693,732,210,31,209,474,475,342,344,477,723,476,721,722
689,694,695,745,693,732,210,31,29,346,475,342,344,477,723,476,721,722
689,694,695,745,693,291,692,209,474,475,342,344,477,723,476,721,722
689,694,734,378,28,27,350,384,30,29,346,345,357,477,344,476,723,722
689,694,734,378,28,27,350,384,30,29,346,345,357,477,344,476,721,722
689,694,734,378,28,27,350,384,30,29,346,345,357,477,723,476,721,722
689,696,735,374,28,27,350,384,30,29,346,345,357,477,344,476,723,722
689,696,735,374,28,27,350,384,30,29,346,345,357,477,344,476,721,722
689,696,735,374,25,26,350,384,30,29,346,345,357,477,344,476,723,722
689,696,735,374,28,27,350,384,30,29,346,345,357,477,723,476,721,722
689,696,735,374,25,26,350,27,30,384,346,345,357,477,344,476,723,722
689,696,735,374,25,26,350,384,30,29,346,345,357,477,344,476,721,722
689,696,735,378,28,27,350,384,30,29,346,345,357,477,344,476,723,722
689,696,735,374,25,26,350,27,30,384,346,345,357,477,344,476,721,722
689,696,735,374,25,26,350,384,30,29,346,345,357,477,723,476,721,722
689,696,735,378,28,27,350,384,30,29,346,345,357,477,344,476,721,722
689,696,735,374,25,27,350,384,30,29,346,345,357,477,344,476,723,722
689,696,735,374,25,26,350,27,30,29,346,345,357,477,344,476,723,722
689,696,735,374,25,26,350,27,30,384,346,345,357,477,723,476,721,722
689,696,735,374,25,26,350,27,30,384,347,345,357,477,344,476,723,722
689,696,735,374,25,27,350,384,30,29,346,345,357,477,344,476,721,722
689,696,735,374,25,26,350,27,30,29,346,345,357,477,344,476,721,722
689,696,735,378,28,27,350,384,30,29,346,345,357,477,723,476,721,722
689,696,735,374,25,26,350,27,30,384,347,345,357,477,344,476,721,722
689,696,735,374,25,27,350,384,30,29,346,345,357,477,723,476,721,722
689,696,735,374,25,26,350,27,30,29,346,345,357,477,723,476,721,722
689,696,735,374,25,26,350,27,30,384,347,345,357,477,723,476,721,722
689,696,735,374,25,26,350,27,30,384,347,348,357,477,344,476,723,722
689,696,735,374,25,26,350,27,30,384,347,348,357,477,344,476,721,722
689,694,734,378,28,377,30,384,346,29,474,475,342,344,477,723,476,721,722
689,696,735,374,25,26,350,27,30,384,347,348,357,477,723,476,721,722
689,696,735,374,25,26,350,27,30,384,346,29,474,475,342,344,476,723,722
689,696,735,374,28,377,30,384,346,29,474,475,342,344,477,723,476,721,722
689,696,735,374,25,26,350,27,30,384,346,29,474,475,342,344,477,723,722
689,696,735,374,25,26,350,27,30,384,346,29,474,475,342,344,476,721,722
689,696,735,378,28,377,30,384,346,29,474,475,342,344,477,723,476,721,722
689,694,734,378,28,27,30,384,346,29,474,475,342,344,477,723,476,721,722
689,694,734,378,28,27,350,384,346,29,474,475,342,344,477,723,476,721,722
689,694,734,378,28,27,350,384,30,29,346,345,342,344,477,723,476,721,722
689,694,734,378,28,27,350,384,30,29,474,475,342,344,477,723,476,721,722
689,696,735,374,28,27,30,384,346,29,474,475,342,344,477,723,476,721,722
689,694,734,378,28,27,350,384,30,29,346,475,342,344,477,723,476,721,722
689,696,735,378,28,27,30,384,346,29,474,475,342,344,477,723,476,721,722
689,696,735,374,28,27,350,384,346,29,474,475,342,344,477,723,476,721,722
689,696,735,374,28,27,350,384,30,29,346,345,342,344,477,723,476,721,722
689,696,735,374,25,27,30,384,346,29,474,475,342,344,477,723,476,721,722
689,696,735,374,25,26,350,384,346,29,474,475,342,344,477,723,476,721,722
689,696,735,374,25,26,350,384,30,29,346,345,342,344,477,723,476,721,722
689,696,735,374,28,27,350,384,30,29,474,475,342,344,477,723,476,721,722
689,696,735,374,25,26,350,27,30,384,346,345,342,344,477,723,476,721,722
689,696,735,378,28,27,350,384,346,29,474,475,342,344,477,723,476,721,722
689,696,735,378,28,27,350,384,30,29,346,345,342,344,477,723,476,721,722
689,696,735,374,25,26,350,384,30,29,474,475,342,344,477,723,476,721,722
689,696,735,374,25,27,350,384,346,29,474,475,342,344,477,723,476,721,722
689,696,735,374,25,27,350,384,30,29,346,345,342,344,477,723,476,721,722
689,696,735,374,28,27,350,384,30,29,346,475,342,344,477,723,476,721,722
689,696,735,374,25,26,350,27,30,29,346,345,342,344,477,723,476,721,722
689,696,735,374,25,26,350,27,30,384,347,345,342,344,477,723,476,721,722
689,696,735,378,28,27,350,384,30,29,474,475,342,344,477,723,476,721,722
689,696,735,374,25,26,350,384,30,29,346,475,342,344,477,723,476,721,722
689,696,735,374,25,27,350,384,30,29,474,475,342,344,477,723,476,721,722
689,696,735,374,25,26,350,27,30,29,474,475,342,344,477,723,476,721,722
689,696,735,374,25,26,350,27,30,384,346,475,342,344,477,723,476,721,722
689,696,735,378,28,27,350,384,30,29,346,475,342,344,477,723,476,721,722
689,696,735,374,25,27,350,384,30,29,346,475,342,344,477,723,476,721,722
689,696,735,374,25,26,350,27,30,29,346,475,342,344,477,723,476,721,722
689,696,739,374,28,377,30,384,346,345,357,477,723,722
689,696,739,374,28,377,30,29,346,345,357,477,723,722
689,696,739,374,28,377,30,384,347,345,357,477,723,722
689,696,739,374,28,377,30,384,347,348,357,477,723,722
689,694,695,734,378,28,377,30,384,346,345,357,477,723,722
689,694,695,734,378,28,377,30,29,346,345,357,477,723,722
689,694,695,734,378,28,377,30,384,347,345,357,477,723,722
689,694,734,378,28,377,30,384,346,345,357,379,724,722
689,694,695,734,378,28,377,30,384,347,348,357,477,723,722
689,694,734,378,28,377,30,29,346,345,357,379,724,722
689,694,734,378,28,377,30,384,347,345,357,379,724,722
689,696,735,374,28,377,30,384,346,345,357,379,724,722
689,696,735,374,28,377,30,29,346,345,357,379,724,722
689,696,735,374,28,377,30,384,347,345,357,379,724,722
689,696,735,378,28,377,30,384,346,345,357,379,724,722
689,694,734,378,28,377,30,384,347,348,357,379,724,722
689,696,735,378,28,377,30,29,346,345,357,379,724,722
689,696,739,374,28,27,30,384,346,345,357,477,723,722
689,696,735,378,28,377,30,384,347,345,357,379,724,722
689,696,739,374,28,27,30,29,346,345,357,477,723,722
689,696,739,374,28,27,30,384,347,345,357,477,723,722
689,696,739,374,28,27,350,384,346,345,357,477,723,722
689,696,739,374,25,27,30,384,346,345,357,477,723,722
689,696,739,374,28,27,350,349,359,348,357,477,723,722
689,696,735,374,28,377,30,384,347,348,357,379,724,722
689,696,739,374,25,26,350,384,346,345,357,477,723,722
689,696,739,374,25,26,351,349,359,348,357,477,723,722
689,696,739,374,28,377,733,31,29,346,345,357,477,723,722
689,696,739,374,28,27,350,384,347,345,357,477,723,722
689,696,739,374,28,27,350,349,347,345,357,477,723,722
689,696,739,374,25,26,350,349,359,348,357,477,723,722
689,694,734,378,28,377,30,384,347,348,358,379,724,722
689,696,739,374,25,27,30,29,346,345,357,477,723,722
689,696,739,374,25,27,30,384,347,345,357,477,723,722
689,696,739,374,25,26,351,349,347,345,357,477,723,722
689,696,739,374,25,26,350,384,347,345,357,477,723,722
689,696,739,374,25,26,350,349,347,345,357,477,723,722
689,696,739,374,25,27,350,384,346,345,357,477,723,722
689,696,735,378,28,377,30,384,347,348,357,379,724,722
689,696,739,374,25,26,351,352,359,348,357,477,723,722
689,696,739,374,25,27,350,349,359,348,357,477,723,722
689,696,739,374,25,27,350,384,347,345,357,477,723,722
689,696,739,374,25,27,350,349,347,345,357,477,723,722
689,696,739,374,28,27,30,384,347,348,357,477,723,722
689,696,735,374,28,377,30,384,347,348,358,379,724,722
689,694,734,378,28,377,733,210,31,29,346,345,357,477,723,722
689,696,739,374,28,27,350,384,347,348,357,477,723,722
689,696,739,374,28,27,350,349,347,348,357,477,723,722
689,696,739,374,25,27,30,384,347,348,357,477,723,722
689,696,739,374,25,26,351,349,347,348,357,477,723,722
689,696,735,378,28,377,30,384,347,348,358,379,724,722
689,696,739,374,25,26,350,384,347,348,357,477,723,722
689,696,739,374,25,26,350,349,347,348,357,477,723,722
689,696,735,374,28,377,733,210,31,29,346,345,357,477,723,722
689,696,739,374,25,27,350,384,347,348,357,477,723,722
689,696,739,374,25,27,350,349,347,348,357,477,723,722
689,696,735,378,28,377,733,210,31,29,346,345,357,477,723,722
689,696,739,374,28,377,30,384,346,345,342,344,476,723,722
689,696,739,374,28,377,30,384,346,345,342,344,477,723,722
689,696,739,374,28,377,30,384,346,345,342,344,476,721,722
689,696,739,374,28,377,30,29,346,345,342,344,476,723,722
689,696,739,374,28,377,30,384,347,345,342,344,476,723,722
689,696,739,374,28,377,30,29,346,345,342,344,477,723,722
689,696,739,374,28,377,30,29,346,345,342,344,476,721,722
689,696,739,374,28,377,30,384,347,345,342,344,477,723,722
689,696,739,374,28,377,30,384,347,345,342,344,476,721,722
689,696,739,374,28,377,30,29,474,475,342,344,476,723,722
689,696,739,374,28,377,30,384,346,475,342,344,476,723,722
689,696,739,374,28,377,30,29,474,475,342,344,477,723,722
689,696,739,374,28,377,30,384,346,475,342,344,477,723,722
689,696,739,374,28,377,30,29,474,475,342,344,476,721,722
689,696,739,374,28,377,30,384,346,475,342,344,476,721,722
689,696,739,374,28,377,30,29,346,475,342,344,476,723,722
689,696,739,374,28,377,30,29,346,475,342,344,477,723,722
689,696,739,374,28,377,30,29,346,475,342,344,476,721,722
689,694,695,734,378,28,27,30,384,346,345,357,477,723,722
689,694,695,734,378,28,27,30,29,346,345,357,477,723,722
689,694,695,734,378,28,27,30,384,347,345,357,477,723,722
689,694,695,734,378,28,27,350,384,346,345,357,477,723,722
689,694,695,734,378,28,27,350,349,359,348,357,477,723,722
689,694,695,734,378,28,377,733,31,29,346,345,357,477,723,722
689,694,695,734,378,28,27,350,384,347,345,357,477,723,722
689,694,695,734,378,28,27,350,349,347,345,357,477,723,722
689,696,735,374,25,26,350,27,30,384,346,29,474,475,342,344,477,723,476,721,722
689,694,734,378,28,27,30,384,346,345,357,379,724,722
689,694,734,695,745,693,732,210,31,29,346,345,357,477,723,722
689,694,695,734,378,28,27,30,384,347,348,357,477,723,722
689,694,734,378,28,27,30,29,346,345,357,379,724,722
689,694,734,378,28,27,30,384,347,345,357,379,724,722
689,694,734,378,28,27,350,384,346,345,357,379,724,722
689,694,695,745,693,732,210,733,31,29,346,345,357,477,723,722
689,694,734,378,28,27,350,349,359,348,357,379,724,722
689,694,695,734,378,28,27,350,384,347,348,357,477,723,722
689,694,695,734,378,28,27,350,349,347,348,357,477,723,722
689,696,735,374,28,27,30,384,346,345,357,379,724,722
689,694,734,378,28,377,733,31,29,346,345,357,379,724,722
689,694,734,378,28,27,350,384,347,345,357,379,724,722
689,694,734,378,28,27,350,349,347,345,357,379,724,722
689,696,735,374,28,27,30,29,346,345,357,379,724,722
689,696,735,374,28,27,30,384,347,345,357,379,724,722
689,696,735,378,28,27,30,384,346,345,357,379,724,722
689,696,735,374,28,27,350,384,346,345,357,379,724,722
689,696,735,374,25,27,30,384,346,345,357,379,724,722
689,696,735,374,28,27,350,349,359,348,357,379,724,722
689,694,734,378,28,27,30,384,347,348,357,379,724,722
689,696,735,374,25,26,350,384,346,345,357,379,724,722
689,696,735,378,28,27,30,29,346,345,357,379,724,722
689,696,735,378,28,27,30,384,347,345,357,379,724,722
689,696,735,374,25,26,351,349,359,348,357,379,724,722
689,696,735,374,28,377,733,31,29,346,345,357,379,724,722
689,696,735,374,28,27,350,384,347,345,357,379,724,722
689,694,734,378,28,27,350,349,359,348,358,379,724,722
689,696,735,374,28,27,350,349,347,345,357,379,724,722
689,696,735,374,25,26,350,349,359,348,357,379,724,722
689,696,735,374,25,27,30,29,346,345,357,379,724,722
689,696,735,378,28,27,350,384,346,345,357,379,724,722
689,694,695,734,378,28,377,30,384,346,345,342,344,476,723,722
689,696,735,374,25,27,30,384,347,345,357,379,724,722
689,696,735,374,25,26,351,349,347,345,357,379,724,722
689,694,695,734,378,28,377,30,384,346,345,342,344,477,723,722
689,696,735,374,25,26,350,384,347,345,357,379,724,722
689,696,735,374,25,26,350,349,347,345,357,379,724,722
689,694,695,734,378,28,377,30,384,346,345,342,344,476,721,722
689,696,735,374,25,27,350,384,346,345,357,379,724,722
